Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,,,,,,,,,Value new (USD),Value used (USD),Launch date,Exit date
"10246-1","Creator Expert","Modular Buildings Collection",2015,"Detective's Office",6,2262,142.99,159.99,199.99,149.99,5702015348386,,58.2,37.8,10.3,,"",0,0,0,,0,0,,,,,,,,,388.5800,298.0900,"01/01/2015","31/12/2018"
"10247-1","Creator Expert","Fairground Collection",2015,"Ferris Wheel",10,2464,159.99,199.99,229.99,179.99,5702015357616,,58,47.6,8.8,,"",0,0,0,,0,0,,,,,,,,,361.9100,254.3200,"01/06/2015","31/12/2018"
"10248-1","Creator Expert","Vehicles",2015,"Ferrari F40",,1158,74.99,99.99,119.99,89.99,5702015348164,,48,28.2,7.4,,"",0,0,0,,0,0,,,,,,,,,299.3400,167.1900,"01/08/2015","31/12/2017"
"10249-1","Creator Expert","Winter Village Collection",2015,"Winter Toy Shop",8,898,64.99,79.99,99.99,69.99,5702015348379,,48,28,7.2,,"",0,0,0,,0,0,,,,,,,,,190.6900,154.2000,"01/10/2015","31/12/2017"
"10581-1","Duplo","Forest Animals",2015,"Forest: Ducks",1,13,9.99,9.99,12.99,9.99,5702015355179,,19.1008,14.097,7.0612,0.16,"",0,0,0,,0,0,,,,,,,,,32.3300,10.9800,"",""
"10582-1","Duplo","Forest Animals",2015,"Forest: Animals",2,39,16.99,19.99,24.99,19.99,5702015355186,,26.1874,19.1008,11.811,0.51,"",0,0,0,,0,0,,,,,,,,,84.1100,24.2800,"01/03/2015","31/12/2016"
"10583-1","Duplo","Forest Animals",2015,"Forest: Fishing Trip",2,32,19.99,24.99,29.99,24.99,5702015355193,673419232395,28.194,26.1874,9.5504,0.61,"",0,0,0,,0,0,,,,,,,,,31.0700,20.9800,"01/03/2015","31/12/2015"
"10584-1","Duplo","Forest Animals",2015,"Forest: Park",3,105,54.99,59.99,69.99,59.99,5702015355209,673419232401,48.006,37.7952,11.2014,1.58,"",0,0,0,,0,0,,,,,,,,,107.9900,74.9500,"01/03/2015","31/12/2017"
"10585-1","Duplo","",2015,"Mom and Baby",2,13,8.99,9.99,12.99,9.99,5702015355230,673419232432,19.1008,14.097,6.096,0.17,"",0,0,0,,0,0,,,,,,,,,20.4600,19.2000,"",""
"10586-1","Duplo","",2015,"Ice Cream Truck",2,11,12.99,14.99,14.99,14.99,5702015355247,673419232449,20.4978,19.1008,9.1948,0.32234,"",0,0,0,,0,0,,,,,,,,,25.5800,14.5100,"",""
"10587-1","Duplo","",2015,"Café",3,52,17.99,19.99,24.99,19.99,5702015355254,673419232555,28.194,26.2128,9.5504,0.681,"",0,0,0,,0,0,,,,,,,,,37.4100,22.4000,"01/01/2015","31/12/2016"
"10589-1","Duplo","",2015,"Rally Car",1,13,12.99,14.99,14.99,14.99,5702015355261,673419232562,20.4978,19.1008,9.1948,0.30872,"",0,0,0,,0,0,,,,,,,,,19.7800,5.7900,"",""
"10590-1","Duplo","",2015,"Airport",3,29,16.99,19.99,24.99,19.99,5702015355377,673419232579,35.4076,19.1008,11.811,0.6078133,"",0,0,0,,0,0,,,,,,,,,19.1100,14.0900,"01/01/2015","31/12/2017"
"10591-1","Duplo","Fire",2015,"Fire Boat",1,19,12.99,14.99,14.99,14.99,,673419232357,26.1874,19.1008,9.0932,0.38,"",0,0,0,,0,0,,,,,,,,,35.0000,15.0000,"",""
"10592-1","Duplo","Fire",2015,"Fire Truck",1,26,19.99,24.99,29.99,24.99,,673419232364,28.194,26.2128,9.5504,0.6350288,"",0,0,0,,0,0,,,,,,,,,28.5000,30.6000,"01/06/2015","31/12/2018"
"10593-1","Duplo","Fire",2015,"Fire Station",2,105,44.99,49.99,59.99,59.99,5702015355384,673419232586,54.0004,28.194,11.811,1.58,"",0,0,0,,0,0,,,,,,,,,84.6500,52.3300,"01/06/2015","31/12/2016"
