Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,,,,,,,,,Value new (USD),Value used (USD),Launch date,Exit date
"10297-1","Icons","Modular Buildings Collection",2022,"Boutique Hotel",7,3066,199.99,229.99,289.99,229.99,5702017151847,673419355445,58.2,48,12.4,3.471,"",0,0,0,,0,0,,,,,,,,,203.4800,176.9700,"01/01/2022","31/12/2025"
"10298-1","Icons","Vehicles",2022,"Vespa 125",,1106,89.99,99.99,129.99,99.99,5702017151861,673419355667,48,28.2,9.1,,"",0,0,0,,0,0,,,,,,,,,70.0400,58.1600,"01/03/2022","31/12/2025"
"10299-1","Icons","Stadiums",2022,"Real Madrid - Santiago Bernabéu Stadium",,5876,344.99,399.99,499.99,399.99,5702017153179,673419355674,52.3,48,21.8,,"",0,0,0,,0,0,,,,,,,,,316.8200,,"01/03/2022","31/12/2023"
"10300-1","Icons","Vehicles",2022,"Back to the Future Time Machine",2,1872,169.99,199.99,249.99,199.99,5702017153186,673419355681,48,28.2,11.8,,"",0,0,0,,0,0,,,,,,,,,173.3300,137.3300,"01/04/2022","31/12/2025"
"10301-1","Icons","",2022,"{?}",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"10302-1","Icons","Licensed",2022,"Optimus Prime",,1508,159.99,179.99,239.99,179.99,5702017153209,673419355704,28.2,48,9.1,1.702,"",0,0,0,,0,0,,,,,,,,,133.5100,101.7900,"01/06/2022","31/12/2025"
"10303-1","Icons","Fairground Collection",2022,"Loop Coaster",11,3756,344.99,399.99,499.99,399.99,5702017153247,673419355742,52.2,48.2,25.7,5.83,"",0,0,0,,0,0,,,,,,,,,322.3200,324.8800,"01/07/2022","31/12/2024"
"10304-1","Icons","Vehicles",2022,"Chevrolet Camaro Z/28 1969",,1456,149.99,169.99,209.99,169.99,5702017153254,673419355759,48,28.2,11.8,,"",0,0,0,,0,0,,,,,,,,,140.1900,99.9900,"01/08/2022","31/12/2024"
"10305-1","Icons","Castle System",2022,"Lion Knights' Castle",22,4514,344.99,399.99,499.99,399.99,5702017153261,673419355766,52.3,48,21.8,,"",0,0,0,,0,0,,,,,,,,,359.8700,285.0900,"03/08/2022","31/12/2025"
"10306-1","Icons","Licensed",2022,"Atari 2600",1,2532,209.99,239.99,299.99,239.99,5702017153278,673419355773,58.2,48,12.4,,"",0,0,0,,0,0,,,,,,,,,156.3500,130.0000,"01/08/2022","31/12/2024"
"10307-1","Icons","Landmarks",2022,"Eiffel Tower",,10001,554.99,629.99,799.99,629.99,5702017153292,673419355797,58.5,47.5,38.5,,"",0,0,0,,0,0,,,,,,,,,583.5300,462.0600,"25/11/2022","31/12/2025"
"10308-1","Icons","Winter Village Collection",2022,"Holiday Main Street",6,1514,89.99,99.99,129.99,99.99,5702017153285,673419355780,47.8,28,8.8,1.738,"",0,0,0,,0,0,,,,,,,,,80.7600,73.3300,"03/10/2022","31/12/2024"
"10309-1","Icons","Botanical Collection",2022,"Succulents",,771,44.99,49.99,69.99,49.99,5702017189185,673419361620,38,26,5.3,0.683,"",0,0,0,,0,0,,,,,,,,,38.9700,27.0000,"01/05/2022","31/12/2025"
"10310-1","Icons","",2022,"{?}",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"10311-1","Icons","Botanical Collection",2022,"Orchid",,608,44.99,49.99,69.99,49.99,5702017224336,673419363266,38,26,6.8,0.756,"",0,0,0,,0,0,,,,,,,,,40.6700,33.2800,"01/05/2022","31/12/2025"
"10497-1","Icons","Space System",2022,"Galaxy Explorer",5,1254,89.99,99.99,129.99,99.99,5702017189208,673419361644,53.8,28,8.7,1.756,"",0,0,0,,0,0,,,,,,,,,85.9300,58.3300,"01/08/2022","31/12/2023"
"10777-1","Disney","Mickey and Friends",2022,"Mickey and Minnie's Camping Trip",2,103,17.99,24.99,34.99,19.99,5702017152363,673419355889,20.4,18.9,7.3,0.277,"",0,0,0,,0,0,,,,,,,,,15.5700,,"01/06/2022","31/12/2023"
"10778-1","Disney","Mickey and Friends",2022,"Mickey, Minnie and Goofy's Fairground Fun",3,184,24.99,34.99,44.99,29.99,5702017153476,,35.2,19,7,0.614,"",0,0,0,,0,0,,,,,,,,,36.4100,,"01/06/2022","31/12/2022"
"10780-1","Disney","Mickey and Friends",2022,"Mickey and Friends Castle Defenders",4,215,44.99,54.99,69.99,49.99,5702017153483,673419355902,38,26,5.5,0.677,"",0,0,0,,0,0,,,,,,,,,32.6500,38.0000,"01/06/2022","31/07/2023"
